S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
53,2019-03-18,103,21236,8483057,402,397,398
54,2019-03-19,35,3790,1511860,402,398,399
55,2019-03-21,74,22176,8807087,399,395,395
56,2019-03-24,70,11361,4487639,399,393,396
57,2019-03-25,66,8113,3226695,400,394,398
58,2019-03-26,59,15558,6190349,400,395,398
59,2019-03-27,54,13921,5537602,400,397,398
60,2019-03-28,93,15408,6131473,403,396,398
61,2019-03-31,151,24402,9764365,402,399,400
62,2019-04-01,169,54571,22078084,410,400,410
63,2019-04-02,336,89445,37684471,426,410,426
64,2019-04-03,356,101042,43735793,439,421,436
65,2019-04-04,393,107396,47180690,444,431,440
66,2019-04-07,570,147987,67184258,472,439,468
67,2019-04-08,676,161971,76389493,478,462,466
68,2019-04-09,444,116366,53870063,471,456,458
69,2019-04-10,283,63030,29088630,469,457,466
70,2019-04-11,263,54800,25647384,471,465,469
71,2019-04-15,176,39084,18348468,473,466,470
72,2019-04-16,369,106050,51327749,498,470,492
73,2019-04-17,377,92921,45477800,498,484,487
74,2019-04-18,266,60312,29239844,493,481,482
75,2019-04-21,283,94558,46076091,495,478,494
76,2019-04-22,284,79167,38809690,500,483,484
77,2019-04-23,212,58722,28662700,495,478,490
78,2019-04-24,387,128530,64084734,508,490,506
79,2019-04-25,366,88888,45172797,515,502,507
80,2019-04-28,307,84179,42401216,512,501,502
81,2019-04-29,235,62052,30903060,502,495,496
82,2019-04-30,132,23369,11553845,500,492,495
83,2019-05-02,157,31276,15359811,495,488,491
84,2019-05-05,163,35721,17363724,490,483,483
85,2019-05-06,198,39149,19085938,496,480,496
86,2019-05-07,175,33241,16491329,502,484,494
87,2019-05-08,97,19495,9614964,496,490,493
88,2019-05-09,116,25211,12342681,493,487,488
89,2019-05-12,156,40990,20078107,498,482,498
90,2019-05-13,186,42220,20686736,501,486,487
91,2019-05-14,146,39731,19571801,499,487,493
92,2019-05-15,176,49643,24585912,500,491,491
93,2019-05-16,112,25182,12366322,495,487,490
94,2019-05-19,126,38861,18941674,491,484,484
95,2019-05-20,138,38921,18831306,491,481,483
96,2019-05-21,113,39645,19139612,487,480,482
97,2019-05-22,120,25076,12126265,485,481,484
98,2019-05-23,119,24480,11819484,486,481,484
99,2019-05-26,116,36547,17569256,485,476,477
100,2019-05-27,109,31557,15104097,482,475,480
101,2019-05-28,79,20813,9956807,482,476,480
102,2019-05-29,71,19752,9550413,485,480,480
103,2019-05-30,217,67442,33099285,502,483,485
104,2019-06-02,132,49886,23947771,484,478,478
105,2019-06-03,546,193172,90603753,475,465,468
106,2019-06-04,149,30464,14284867,474,463,470
107,2019-06-06,207,62274,28945405,475,458,460
108,2019-06-10,271,91893,41859078,465,449,451
109,2019-06-11,207,60515,27455745,458,447,457
110,2019-06-12,144,33591,15390955,466,455,458
111,2019-06-13,161,39607,18070481,471,454,454
112,2019-06-16,116,35541,16090940,472,451,451
113,2019-06-17,129,32855,14886503,460,451,454
114,2019-06-18,139,43757,20141425,462,455,461
115,2019-06-19,150,46789,21754683,470,461,466
116,2019-06-20,159,30484,14273775,475,465,471
117,2019-06-23,114,26800,12482972,480,460,466
118,2019-06-24,111,29942,13953705,469,465,467
119,2019-06-25,97,21895,10267871,473,466,469
120,2019-06-26,63,14360,6702531,475,466,467
121,2019-06-27,106,21627,10038897,475,462,463
122,2019-06-30,109,27859,12776566,463,456,456
123,2019-07-01,119,38691,17541848,458,449,456
124,2019-07-02,116,31497,14327689,461,453,455
125,2019-07-03,88,20331,9392274,472,456,462
126,2019-07-04,90,16735,7745196,469,460,462
127,2019-07-07,109,22121,10100088,476,455,458
128,2019-07-08,133,31564,14268044,455,450,452
129,2019-07-09,174,42350,18958428,454,444,449
130,2019-07-10,107,37178,16595634,449,443,445
131,2019-07-11,125,39147,17417807,450,443,445
132,2019-07-14,102,15141,6710292,450,441,443
133,2019-07-15,109,46364,20625785,447,441,446
134,2019-07-16,61,14110,6293451,450,444,448
135,2019-07-17,86,26501,12059896,457,450,456
136,2019-07-18,94,28359,13051884,464,456,459
137,2019-07-21,65,14798,6788095,462,455,461
138,2019-07-22,72,16651,7695195,468,458,463
139,2019-07-23,77,12440,5788859,469,462,465
140,2019-07-24,161,32270,15241879,479,465,474
141,2019-07-25,145,33130,15607949,476,465,467
142,2019-07-28,162,47251,21704057,465,457,459
143,2019-07-29,88,15259,7047645,464,460,462
144,2019-07-30,60,7866,3655774,467,463,465
145,2019-07-31,59,12296,5733516,474,465,468
146,2019-08-01,83,20007,9321543,473,465,467
147,2019-08-04,62,12134,5651245,474,465,467
148,2019-08-05,61,34781,16171329,469,463,465
149,2019-08-06,122,43065,19609809,464,451,458
150,2019-08-07,81,17917,8164509,460,451,453
151,2019-08-08,110,15933,7173173,455,449,449
152,2019-08-11,74,11993,5385645,452,447,449
153,2019-08-12,70,12265,5506248,450,448,450
154,2019-08-13,29,5472,2454136,453,448,449
155,2019-08-14,93,18041,8024068,450,443,443
156,2019-08-15,50,46360,20594602,450,443,444
157,2019-08-18,238,54223,24534456,458,449,451
158,2019-08-19,181,37488,17190381,464,451,460
159,2019-08-20,132,29190,13297171,461,453,453
160,2019-08-21,145,38058,17263615,457,451,454
161,2019-08-22,136,42153,19140811,462,452,454
162,2019-08-25,154,32538,14637539,453,448,448
163,2019-08-26,168,31024,13882397,450,446,447
164,2019-08-27,167,52701,23628001,451,447,447
165,2019-08-28,367,72685,32094418,471,438,439
166,2019-08-29,146,29723,13080726,450,437,439
167,2019-09-01,94,15482,6818360,462,439,440
168,2019-09-02,82,11942,5226853,471,435,436
169,2019-09-03,177,50696,21972766,449,426,449
170,2019-09-04,112,22602,10134271,453,440,451
171,2019-09-05,127,29014,13037949,454,447,449
172,2019-09-08,143,35963,16188090,453,448,448
173,2019-09-09,91,15778,7032253,450,443,448
174,2019-09-10,149,27649,12302406,450,443,448
175,2019-09-10,149,27649,12302406,450,443,448
176,2019-09-11,125,22108,9864653,454,444,447
177,2019-09-12,392,79341,35476570,450,445,448
178,2019-09-15,142,22199,8729640,441,390,391
179,2019-09-16,153,31341,11995455,391,377,380
180,2019-09-17,122,18010,6937509,390,376,387
181,2019-09-18,135,23035,8998569,398,387,395
182,2019-09-19,72,10037,3913371,400,384,387
183,2019-09-22,61,7772,2976373,393,378,383
184,2019-09-23,68,13501,5133782,390,378,379
185,2019-09-24,71,13035,4929740,381,376,379
186,2019-09-25,69,15432,5804209,381,375,376
187,2019-09-26,73,14312,5372280,377,375,375
188,2019-09-29,78,22722,8515888,377,372,375
189,2019-09-30,57,9075,3413451,378,375,378
190,2019-10-01,52,5241,1997222,384,375,384
191,2019-10-02,50,7310,2804527,390,382,384
192,2019-10-03,39,8409,3230985,401,383,389
193,2019-10-10,18,3175,1221015,389,383,385
194,2019-10-14,57,10343,3945902,385,378,378
195,2019-10-15,50,11302,4296377,385,378,385
196,2019-10-16,58,15604,5995326,390,383,386
197,2019-10-17,45,10188,3924122,387,384,386
198,2019-10-20,53,12661,4850201,400,382,382
199,2019-10-21,32,6069,2330121,389,382,384
200,2019-10-22,85,24454,9463846,391,384,391
201,2019-10-23,117,37258,14693240,401,390,398
202,2019-10-24,298,84273,34542544,414,400,411
203,2019-10-31,98,29033,11957266,418,408,408
204,2019-11-03,63,10405,4204941,408,402,405
205,2019-11-04,73,10935,4371389,405,397,400
206,2019-11-05,49,13299,5303364,401,397,397
207,2019-11-06,134,20215,8069098,404,396,400
208,2019-11-07,48,10888,4332033,403,397,399
209,2019-11-10,93,27061,10792086,406,397,400
210,2019-11-11,106,21981,8849692,406,398,404
211,2019-11-12,72,12817,5125024,406,398,398
212,2019-11-13,55,8746,3490485,400,398,399
213,2019-11-14,91,22377,9023197,406,399,406
214,2019-11-17,384,94663,39362153,420,410,418
215,2019-11-18,204,33570,14013032,424,415,417
216,2019-11-19,87,21424,8849797,419,410,411
217,2019-11-20,102,20611,8495698,417,407,410
218,2019-11-21,118,31833,12841487,413,400,404
219,2019-11-24,114,21650,8624685,406,396,400
220,2019-11-25,57,10402,4186013,408,398,405
221,2019-11-26,64,24891,10073543,406,403,406
222,2019-11-27,75,16628,6763101,408,405,408
223,2019-11-28,75,19814,8084163,410,406,406
224,2019-12-01,78,30520,12397298,407,405,406
225,2019-12-02,74,26575,10783865,407,404,404
226,2019-12-03,101,31452,12720791,407,403,405
227,2019-12-04,125,47834,19360746,409,403,403
228,2019-12-05,85,24306,9879145,408,405,407
229,2019-12-08,68,24612,9971612,409,404,405
230,2019-12-09,76,17775,7262497,410,405,410
231,2019-12-10,88,20176,8266796,415,409,410
232,2019-12-11,71,13581,5595973,415,410,414
233,2019-12-12,82,17030,7038758,418,412,414
234,2019-12-15,213,62405,26149734,424,414,421
235,2019-12-16,163,46637,19507903,425,414,418
236,2019-12-17,77,24206,10041469,418,413,414
237,2019-12-18,43,17181,7123940,420,414,416
238,2019-12-19,81,23427,9694900,418,413,413
239,2019-12-22,96,23136,9580029,419,412,415
240,2019-12-23,132,46469,19283453,421,414,415
241,2019-12-24,100,34008,14136807,419,414,414
242,2019-12-25,89,41239,17096840,416,413,413
243,2019-12-26,83,35827,14788174,414,412,412
244,2019-12-29,78,18417,7534681,415,406,408
245,2019-12-30,125,28616,11625887,408,405,405
246,2019-12-31,103,28129,11503766,414,407,408
247,2020-01-01,101,35563,14601163,413,408,411
248,2020-01-02,120,41445,17121498,415,411,413
249,2020-01-05,327,102503,43441128,431,413,427
250,2020-01-06,560,194558,84742033,441,428,440
251,2020-01-07,463,146948,64800633,449,435,438
252,2020-01-08,239,98321,42809668,442,432,434
253,2020-01-09,135,33427,14527988,437,431,433
254,2020-01-12,316,91556,40781110,451,438,446
255,2020-01-13,378,123765,55759617,459,445,450
256,2020-01-14,228,64306,28696608,450,443,443
257,2020-01-15,535,160108,74074770,474,446,472
258,2020-01-16,484,142355,68316816,484,475,475
259,2020-01-19,433,131384,63023343,489,475,477
260,2020-01-20,435,125366,59848902,492,470,479
261,2020-01-21,722,195430,94612006,493,480,482
262,2020-01-22,219,61558,29577488,490,477,478
263,2020-01-23,199,55322,26240792,485,470,472
264,2020-01-26,265,63904,29986306,475,466,467
265,2020-01-27,218,57507,27049862,474,464,471
266,2020-01-28,183,42456,20258112,480,474,475
267,2020-01-29,131,31065,14690851,478,469,470
268,2020-01-30,248,65696,31360789,483,470,480
269,2020-02-02,456,128887,62995689,493,482,492
270,2020-02-03,247,71812,35184109,496,487,488
271,2020-02-04,203,63839,31011130,489,481,481
272,2020-02-05,163,45781,22094590,500,480,482
273,2020-02-06,232,66736,32138168,485,479,481
274,2020-02-09,215,71613,34623533,490,478,483
275,2020-02-10,227,73372,35573326,489,482,488
276,2020-02-11,722,228518,114030674,505,490,503
277,2020-02-12,451,123088,62453850,510,504,508
278,2020-02-13,443,99381,50136348,509,500,503
279,2020-02-16,281,78765,39781843,511,502,511
280,2020-02-17,716,164128,87533291,545,513,539
281,2020-02-18,730,194043,106515662,558,540,548
282,2020-02-19,345,109712,59966378,553,543,547
283,2020-02-20,442,106954,58865286,554,548,554
284,2020-02-23,633,159238,92857403,602,556,596
285,2020-02-24,717,174260,104420809,619,590,594
286,2020-02-25,493,153538,90755857,598,575,595
287,2020-02-26,559,166838,101202808,615,595,610
288,2020-02-27,1027,330732,205946505,663,587,660
289,2020-03-01,1152,334054,218894988,680,636,639
290,2020-03-02,791,236109,146152150,639,600,603
291,2020-03-03,1124,305633,183699660,621,579,608
292,2020-03-04,851,220724,130103508,610,577,577
293,2020-03-05,551,168687,96806015,589,560,575
294,2020-03-10,433,149878,82055114,564,526,526
295,2020-03-11,828,265635,146653796,569,520,567
296,2020-03-12,827,210135,116385683,569,545,550
297,2020-03-15,737,215664,114696266,547,518,518
298,2020-03-16,725,246391,128164965,531,511,522
299,2020-03-17,642,197047,100701962,522,501,508
300,2020-03-18,521,166700,83345062,518,491,502
301,2020-03-19,611,192055,96542563,515,482,509
302,2020-03-22,96,22489,11139985,510,488,496
303,2020-05-12,3,95,45840,487,482,482
304,2020-05-13,2,60,28130,473,468,468
305,2020-06-29,255,75742,32927742,479,422,469
306,2020-06-30,57,10579,5219061,510,462,506
307,2020-07-01,114,33967,17874578,534,514,525
308,2020-07-02,125,44886,21832357,530,473,485
309,2020-07-05,226,64804,31600816,502,472,490
310,2020-07-06,158,35198,17367169,500,480,499
311,2020-07-07,355,72828,37111024,517,499,510
312,2020-07-08,183,35217,17868522,515,500,505
313,2020-07-09,228,69253,34828597,509,496,502
314,2020-07-12,279,88061,44875952,515,506,510
315,2020-07-13,301,91574,47152178,518,509,516
316,2020-07-14,347,90120,47642406,541,518,533
317,2020-07-15,616,189465,104025579,555,539,553
318,2020-07-16,456,100312,56821673,571,557,570
319,2020-07-19,9,1111,688541,627,581,627
320,2020-07-20,1173,288033,174873305,671,584,595
321,2020-07-21,682,193137,114425615,604,580,587
322,2020-07-22,434,121795,71304517,600,578,580
323,2020-07-23,435,102536,58964873,582,569,579
324,2020-07-26,526,146673,86186251,598,580,594
325,2020-07-27,392,101036,60092797,605,586,588
326,2020-07-28,371,96294,56270040,592,579,580
327,2020-07-29,577,155181,88824142,579,570,570
328,2020-07-30,383,89310,50944684,577,565,570
329,2020-08-02,659,125621,69926350,566,552,552
330,2020-08-03,386,93087,51551766,560,544,556
331,2020-08-05,435,89373,48883302,553,542,550
332,2020-08-06,347,73572,39961020,551,537,548
333,2020-08-09,287,49047,26824170,555,538,553
334,2020-08-10,518,128478,72588918,576,550,574
335,2020-08-11,368,74503,42842248,582,570,572
336,2020-08-12,252,67657,38750468,580,564,574
337,2020-08-13,412,120252,69327188,583,570,577
338,2020-08-16,410,71817,40710915,575,560,566
339,2020-08-17,186,37723,21324794,569,562,566
340,2020-08-18,215,43780,24778667,570,562,565
341,2020-08-19,293,59039,32937891,563,553,554
342,2020-08-20,125,15745,8802927,564,554,560
343,2020-08-23,173,23761,13355996,571,557,565
344,2020-08-24,414,99698,57114758,579,568,574
345,2020-08-25,380,94522,54560309,581,573,576
346,2020-08-26,764,176951,104096076,600,577,590
347,2020-08-27,577,140837,83147088,600,586,588
348,2020-08-30,243,44108,25697995,587,579,581
349,2020-08-31,509,169903,99948303,600,581,589
350,2020-09-02,708,192770,115280845,604,592,599
351,2020-09-03,369,68906,41055799,611,592,595
352,2020-09-06,515,114541,68001265,624,582,588
353,2020-09-07,391,72833,42301810,592,576,577
