S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
49,2020-11-04,63,7390,13908876,1890,1871,1884
50,2020-11-03,60,4703,8822165,1889,1870,1875
51,2020-11-02,74,7763,14600752,1890,1867,1876
52,2020-11-01,73,11425,21501215,1899,1875,1877
53,2020-10-29,105,15854,29885863,1902,1857,1875
54,2020-10-28,66,6783,12668910,1873,1850,1869
55,2020-10-22,63,9993,18327531,1850,1825,1843
56,2020-10-21,49,3985,7315090,1845,1826,1827
57,2020-10-20,43,2668,4878773,1834,1820,1831
58,2020-10-19,67,5646,10261913,1840,1810,1820
59,2020-10-15,100,8202,14930299,1911,1804,1808
60,2020-10-14,128,12366,22568947,1838,1813,1820
61,2020-10-13,111,10285,18856955,1855,1816,1822
62,2020-10-12,101,10435,19313063,1864,1837,1839
63,2020-10-11,118,11855,22174495,1895,1855,1855
64,2020-10-08,197,26867,50937194,1930,1875,1879
65,2020-10-07,127,25491,47877810,1900,1860,1875
66,2020-10-06,140,10480,19670183,1905,1860,1875
67,2020-10-05,459,47052,90536507,1948,1897,1898
68,2020-10-04,581,63746,119766236,1920,1820,1909
69,2020-10-01,91,10138,18318250,1825,1782,1820
70,2020-09-30,70,4498,8005985,1861,1764,1774
71,2020-09-29,134,14229,25454750,1820,1773,1773
72,2020-09-28,110,16104,28905915,1806,1787,1790
73,2020-09-27,75,7509,13611116,1830,1805,1807
74,2020-09-24,104,9969,18053928,1820,1805,1808
75,2020-09-23,127,10033,18062430,1825,1785,1806
76,2020-09-22,274,32376,58487960,1842,1780,1800
77,2020-09-21,131,16621,30315384,1840,1805,1824
78,2020-09-20,86,15199,27832055,1855,1817,1817
79,2020-09-17,139,18047,33196783,1860,1824,1833
80,2020-09-16,89,11083,19976892,1815,1795,1815
81,2020-09-15,185,25603,46249299,1830,1790,1799
82,2020-09-14,221,29386,53915031,1850,1810,1810
83,2020-09-13,166,19292,35698285,1875,1810,1843
84,2020-09-10,282,31965,59389710,1900,1829,1832
85,2020-09-09,389,48116,88030033,1849,1800,1827
86,2020-09-08,143,17035,30118293,1797,1740,1778
87,2020-09-07,180,19413,34310547,1794,1758,1762
88,2020-09-06,251,39347,70273982,1850,1760,1780
89,2020-09-03,208,27052,49100853,1860,1793,1800
90,2020-09-02,350,56496,104658548,1878,1824,1829
91,2020-08-31,614,84373,153234426,1846,1780,1820
92,2020-08-30,162,18356,31949814,1770,1705,1769
93,2020-08-27,144,17616,30309016,1730,1710,1729
94,2020-08-26,105,12970,22351873,1740,1710,1720
95,2020-08-25,115,13370,23050072,1748,1710,1720
96,2020-08-24,311,31543,54515107,1750,1704,1735
97,2020-08-23,96,9661,16156265,1688,1654,1676
98,2020-08-20,46,3506,5826020,1668,1637,1652
99,2020-08-19,90,7274,11970520,1664,1626,1637
100,2020-08-18,69,4675,7774480,1679,1650,1667
101,2020-08-17,93,9537,15729698,1665,1634,1660
102,2020-08-16,280,27421,45072176,1665,1597,1640
103,2020-08-13,132,14990,25270870,1699,1677,1681
104,2020-08-12,93,14839,25215105,1708,1677,1707
105,2020-08-11,181,23615,40283452,1750,1690,1700
106,2020-08-10,260,25644,43643645,1720,1670,1718
107,2020-08-09,126,10092,16597121,1670,1620,1670
108,2020-08-06,121,9397,15405037,1650,1615,1644
109,2020-08-05,216,25436,41662425,1653,1631,1635
110,2020-08-03,160,12970,21487090,1675,1626,1660
111,2020-08-02,448,44311,73512256,1690,1640,1646
112,2020-07-30,190,14529,24654045,1725,1666,1700
113,2020-07-29,334,28148,47523883,1710,1676,1683
114,2020-07-28,317,31706,54591359,1755,1706,1706
115,2020-07-27,156,14804,25996279,1797,1736,1741
116,2020-07-26,283,36203,64430387,1795,1750,1787
117,2020-07-23,202,18768,32756856,1759,1723,1753
118,2020-07-22,358,42384,74887476,1810,1732,1739
119,2020-07-21,764,82166,142484299,1776,1651,1755
120,2020-07-20,503,47723,80895003,1814,1637,1670
121,2020-07-19,16,1500,2609560,1779,1650,1779
122,2020-07-16,140,10906,17499477,1620,1595,1618
123,2020-07-15,186,26963,43331375,1625,1593,1599
124,2020-07-14,224,22438,36582616,1669,1601,1606
125,2020-07-13,319,35360,56853044,1640,1572,1637
126,2020-07-12,173,18065,28315071,1599,1540,1573
127,2020-07-09,139,15870,24243866,1542,1503,1538
128,2020-07-08,191,21194,32474186,1570,1496,1527
129,2020-07-07,371,38238,58666883,1570,1496,1530
130,2020-07-06,228,20701,30994757,1525,1454,1495
131,2020-07-05,295,27895,40661336,1485,1415,1465
132,2020-07-02,200,26660,38437265,1600,1418,1424
133,2020-07-01,224,27096,42478075,1601,1470,1575
134,2020-06-30,255,25495,36438060,1457,1350,1457
135,2020-06-29,236,27925,34699972,1325,1140,1325
136,2020-05-13,2,40,48460,1218,1205,1205
137,2020-05-12,6,210,263430,1268,1242,1242
138,2020-03-22,84,11330,14531835,1328,1275,1280
139,2020-03-19,1407,244568,313305487,1335,1270,1304
140,2020-03-18,272,20856,27905894,1394,1310,1328
141,2020-03-17,419,33954,46702227,1450,1340,1359
